16,Stranfford,19,1,3127,349
34,OmbacK,0,1,26,2017
54,Pipinf,8,1,3931,226
156,x+wars,19,1,2731,422
164,Geronnt,52,3,4940,152
214,-JAG-,16,1,3305,321
250,rubenmas2001,132,1,623,1274
515,tomaco007,132,1,599,1293
612,mi+flaca,0,1,231,1702
644,tirsu,9,1,975,1085
645,COPE,8,1,395,1461
760,Morpheo22,107,1,240,1654
813,STCG,10,1,3076,357
930,LARDILANDIA,69,1,1866,662
948,Anianga,162,1,2219,561
1031,SANT0,52,1,347,1513
1488,victormarra,19,1,2729,425
1659,Lagash,0,1,1349,900
1871,parris,120,1,240,1655
1924,Bejerano,22,1,109,1884
2115,Junago,62,1,2612,447
2426,estoy,2,1,1532,818
2466,el+ultimo+mohicano,0,1,1471,842
2584,-lucifer-,0,1,26,2018
2770,LYCOS,0,1,526,1339
2869,Jiru,0,1,2580,452
3257,imperio+matt,3,1,2737,420
3638,ejpajaro,139,1,596,1297
3904,ferbarom,1,1,6288,86
4535,luukor,0,1,26,2019
4675,Quaterback,35,1,1960,626
5206,Black+Rnag,0,1,545,1327
5515,Maldoror,2,1,2330,515
5802,Toni2007,0,1,553,1324
5961,Selene,55,1,754,1193
6210,cmr24,16,1,62,1964
6445,GARGUENS,65,1,525,1350
6593,Jato10,16,1,2058,591
7185,fabito94,16,1,1956,633
7269,Non+Stop,0,1,228,1672
7365,qma2,0,1,1517,825
7672,sese,35,1,2159,559
8235,Nayco,0,0,0,2183
8815,canusiro,107,1,442,1415
9148,godoying,24,2,4901,154
9312,stones,128,1,421,1427
9319,espinflik,141,1,537,1333
10005,remolinos,0,1,837,1145
10174,Pol+Domain,0,1,599,1294
10553,wtfmate,26,1,622,1276
10764,skaiman,28,1,2100,589
10902,reynaldo,95,1,1295,936
11565,AriOx,52,1,4331,190
11758,tomeu,62,1,2643,442
13447,Chocoplat4no,62,2,4783,166
13583,Gaarakirian,0,1,300,1565
14536,superpoyo,141,1,241,1652
15291,rocky,12,1,980,1082
15527,Klein,24,2,3341,314
15726,Lucifer.,0,1,290,1578
15878,cyborg,0,1,213,1691
16275,OjO+x+OjO,68,1,2119,570
19450,zarrabitria,24,1,1754,700
20146,ELNOR,120,1,1344,903
20451,vakeri%C3%B1o,1,5,11047,27
20634,antonio1551,15,1,1263,960
22529,garbanzete,11,1,196,1729
23046,Darkma,20,1,4089,212
23632,Daishinkan,1,3,10100,38
24249,CRACKEN,81,1,995,1074
28243,bmwtdsws,20,2,6137,91
31243,Maro,111,1,886,1126
31459,Vakna,0,1,1027,1056
31891,carem23,2,1,984,1089
35585,DarkUri,0,1,3426,304
38188,Piku,0,1,770,1178
40585,almaret,30,1,796,1162
41007,Strygwyr,111,1,1935,644
