3033,1788139705,1169034,0
2625,1788178388,2183491,0
1298,1788184402,2023202,0
3278,1788191491,2104050,2178123
3255,1788227858,2132828,0
4538,1788242721,888810,0
828,1788269600,2137188,0
1440,1788282107,2183483,1369420
539,1788283129,1898371,0
760,1788285453,1961278,0
2437,1788289326,1731373,0
2662,1788290290,2058795,2059472
1694,1788312866,1731373,0
3013,1788313356,486339,0
1299,1788314555,2104050,0
1812,1788315005,2179516,2141769
3016,1788320121,2058795,0
2433,1788331120,301920,0
2899,1788331571,2137188,0
3134,1788334228,1994814,2173649
4153,1788343661,254189,0
2581,1788349090,1898371,0
2330,1788364688,2084142,0
3714,1788367146,2132828,2183628
2831,1788377313,2179516,2116596
3950,1788387188,222751,0
1273,1788388173,1691132,0
995,1788391619,1589382,0
1517,1788395857,1589382,0
4875,1788397868,2084142,2095879
342,1788398131,2136699,0
2837,1788398932,1951772,0
1661,1788399261,486339,0
458,1788402710,1589382,0
3945,1788402979,1912482,1553074
5017,1788407798,1745999,0
3106,1788409233,2080309,0
3395,1788415019,1994814,0
846,1788427600,2127978,2131994
1519,1788435060,1586763,0
1671,1788435458,2121243,0
4401,1788436367,2136214,0
2084,1788438121,1997833,743605
2084,1788438730,1997833,1997833
2595,1788439562,1961278,2006269
5283,1788449171,1745999,0
4432,1788451872,888810,0
690,1788452994,2136699,0
4969,1788454075,2067012,0
3981,1788455437,1594692,2177332
3206,1788455616,222751,0
647,1788455890,301920,0
3861,1788461615,2127978,1891510
2355,1788468900,2104050,1589382
5658,1788469416,2184039,2134283
5320,1788471764,2021767,0
1720,1788475510,2071214,116702
4379,1788475645,862424,0
1967,1788477398,2121243,93720
3739,1788479721,1666646,0
1447,1788482182,486339,0
3959,1788484253,1594692,0
3892,1788484687,2127978,2070355
3184,1788485696,2181101,2175784
4911,1788486057,1786798,2126355
1852,1788491173,2032066,0
5604,1788497407,2021767,0
282,1788498641,1271321,0
2324,1788499207,1651308,1525913
2390,1788500426,2136699,1635695
3558,1788501756,2076485,0
4987,1788502554,2176673,0
2827,1788502681,1958874,2113675
2268,1788503368,2057638,1408290
1932,1788506097,2123065,31891
3736,1788508601,2121004,0
323,1788512326,1342035,0
3337,1788513461,1390210,2179170
4408,1788513612,2136006,0
848,1788514680,1342035,0
5045,1788516211,2132828,9312
2851,1788516532,1342035,0
995,1788519117,2104050,1589382
4884,1788520413,2142222,0
2169,1788521268,1714244,1011913
2366,1788526168,1586763,1608613
2865,1788528152,2122744,0
299,1788529033,1342035,0
407,1788530635,2181789,0
4458,1788534187,2180955,0
1819,1788537460,1810435,2183238
1256,1788537854,1187462,0
5008,1788540274,2067012,0
2734,1788546395,2180410,0
3521,1788551047,2181101,0
5665,1788557700,2064866,0
1403,1788558034,2017869,0
1848,1788559369,1994814,2180257
3373,1788560578,1997833,0
2208,1788561303,2080309,1099788
1873,1788562535,2127978,0
46,1788564648,2076485,0
1969,1788567634,2181315,0
4607,1788568186,934653,0
1659,1788570900,1617970,2180301
1633,1788571863,2132828,0
495,1788573170,2014236,0
5190,1788574923,2057638,2078176
5078,1788575389,164,0
1496,1788577776,2181101,0
3702,1788580976,219369,2183613
3519,1788581279,254547,2182120
3731,1788582561,800543,0
2238,1788582682,1958874,1244723
5576,1788587599,2090745,2184039
28,1788588275,1651308,1566017
