17,1,12851
1,2,122591
21,3,8409
25,4,4957
27,8,3174
41,9,1022
16,10,16366
65,11,26
30,12,2127
8,15,52520
12,16,30784
6,17,78441
35,19,1752
40,20,1059
3,21,92717
44,24,669
62,26,68
14,28,26832
13,29,28373
39,30,1147
10,35,41652
34,41,1902
42,44,1014
58,45,121
7,50,76706
46,52,540
33,53,2013
51,55,340
29,59,2186
54,61,314
11,62,33819
36,63,1682
26,65,3430
45,68,639
22,69,7862
50,74,363
9,75,47013
37,76,1335
19,77,11316
48,79,476
52,81,338
2,82,115695
38,84,1294
4,85,91908
64,89,60
57,90,182
5,93,89231
20,95,10268
63,96,68
59,101,112
18,105,11476
32,106,2045
43,107,756
61,110,97
15,111,24892
47,112,515
24,113,5166
60,116,105
56,120,219
53,126,320
67,128,8
31,132,2098
68,133,2
66,136,8
49,139,372
55,141,224
23,144,6609
28,146,3023
